url,name,nationality,weight,height,one_day,gc,tt,sprint,climber,hills
https://www.procyclingstats.com/rider/oliver-knight,Oliver  Knight,Great Britain,,,9,8,34,13,4,10
https://www.procyclingstats.com/rider/alex-peters,Alex  Peters,Great Britain, 67 kg   , 1.75 m,41,83,13,2,31,36
https://www.procyclingstats.com/rider/clement-russo,Clément  Russo,France, 73 kg   , 1.87 m,450,236,42,291,4,281
https://www.procyclingstats.com/rider/martijn-budding,Martijn  Budding,Netherlands, 74 kg   , 1.87 m,416,93,0,422,34,154
https://www.procyclingstats.com/rider/rodrigo-garcia-rena,Rodrigo  García,Spain,,,197,253,142,0,28,0
https://www.procyclingstats.com/rider/matteo-scalco,Matteo  Scalco,Italy,,,15,7,0,3,15,19
https://www.procyclingstats.com/rider/aidis-kruopis,Aidis  Kruopis,Lithuania, 80 kg   , 1.84 m,795,214,11,86,5,20
https://www.procyclingstats.com/rider/andrei-kunitski,Andrei  Kunitski,Belarus, 72 kg   , 1.76 m,133,190,350,0,30,0
https://www.procyclingstats.com/rider/jeremy-lecroq,Jérémy  Lecroq,France, 70 kg   , 1.89 m,405,32,18,494,0,46
https://www.procyclingstats.com/rider/colin-joyce,Colin  Joyce,United States,, 1.78 m,161,271,76,294,35,278
https://www.procyclingstats.com/rider/luca-ascani,Luca  Ascani,Italy, 75 kg   , 1.87 m,77,241,201,0,64,12
https://www.procyclingstats.com/rider/matvey-mamykin,Matvey  Mamykin,Russia, 62 kg   , 1.79 m,40,231,9,0,188,18
https://www.procyclingstats.com/rider/mamyr-stash,Mamyr  Stash,Russia, 77 kg   , 1.86 m,141,33,24,170,10,60
https://www.procyclingstats.com/rider/mads-christensen,Mads  Christensen,Denmark, 69 kg   , 1.82 m,149,254,290,0,43,35
https://www.procyclingstats.com/rider/pengda-jiao,Pengda  Jiao,China, 65 kg   , 1.73 m,0,63,2,0,22,0
https://www.procyclingstats.com/rider/florian-maitre,Florian  Maitre,France, 71 kg   , 1.80 m,41,2,6,25,0,12
https://www.procyclingstats.com/rider/marko-kump,Marko  Kump,Slovenia, 68 kg   , 1.80 m,878,133,105,622,28,134
https://www.procyclingstats.com/rider/markus-pajur,Markus  Pajur,Estonia, 72 kg   , 1.85 m,53,3,37,139,3,22
https://www.procyclingstats.com/rider/lucas-hamilton,Lucas  Hamilton,Australia, 71 kg   , 1.84 m,396,1125,84,156,870,472
https://www.procyclingstats.com/rider/edward-irl-dunbar,Eddie  Dunbar,Ireland, 57 kg   , 1.70 m,342,1421,226,24,996,432
https://www.procyclingstats.com/rider/brenton-jones,Brenton  Jones,Australia, 81 kg   , 1.82 m,182,53,222,724,6,90
https://www.procyclingstats.com/rider/benjamin-thomas-2,Benjamin  Thomas,France, 68 kg   , 1.79 m,307,812,1109,186,192,916
https://www.procyclingstats.com/rider/sinuhe-fernandez-rodriguez,Sinuhé  Fernández,Spain, 56 kg   , 1.81 m,0,9,0,3,13,0
https://www.procyclingstats.com/rider/lukasz-owsian,Łukasz  Owsian,Poland, 66 kg   , 1.80 m,371,608,98,60,83,74
https://www.procyclingstats.com/rider/michael-potter,Michael  Potter,Australia,,,28,38,38,0,9,16
https://www.procyclingstats.com/rider/nicola-testi,Nicola  Testi,Italy,,,19,0,0,0,4,0
https://www.procyclingstats.com/rider/yan-dong-xing,Yan Dong  Xing,China,,,0,5,0,0,0,0
https://www.procyclingstats.com/rider/jasper-de-plus,Jasper De Plus,Belgium, 69 kg   , 1.85 m,0,0,43,1,0,0
